model,specification,outcome,event,horizon,n,origin_start,origin_end,beta,primary_covariance,maximum_leverage,hc3_se,hc3_p,hc3_90_low,hc3_90_high,hc3_95_low,hc3_95_high,hc1_se,hc1_p,hc1_90_low,hc1_90_high,hc1_95_low,hc1_95_high,interpretation
single,post_2012,lwti,military_conflict,24,152,2012-01-01,2024-08-01,-0.000558052406371,HC3,0.735137301895,0.0953228903603,0.995328940886,-0.157350254347,0.156234149534,-0.187387484415,0.186271379602,0.0747516704312,0.994043514202,-0.123513608636,0.122397503823,-0.147068634236,0.145952529423,Descriptive origin-month split; no independent-subsample difference test
single,pre_2019,lwti,military_conflict,24,345,1990-04-01,2018-12-01,0.106531980605,HC3,0.258472400853,0.092893466051,0.251456484928,-0.0462641739489,0.259328135159,-0.0755358672539,0.288599828464,0.0795260466994,0.180379970443,-0.0242767257455,0.237340686956,-0.0493362067586,0.262400167969,Descriptive origin-month split; no independent-subsample difference test
single,post_2019,lwti,military_conflict,24,68,2019-01-01,2024-08-01,0.0419746999787,HC3,0.864632094317,0.0872578681321,0.630486643941,-0.101551720898,0.185501120856,-0.129047578928,0.212996978885,0.0735902737113,0.568417414599,-0.0790705286437,0.163019928601,-0.102259586108,0.186208986065,Descriptive origin-month split; no independent-subsample difference test
single,pre_2008,lwti,military_conflict,48,213,1990-04-01,2007-12-01,0.0737862958311,HC3,0.380030276118,0.0606198200303,0.223529065846,-0.025924435011,0.173497026673,-0.0450263681777,0.19259895984,0.0513208568485,0.150506472457,-0.0106290016944,0.158201593357,-0.0268007352476,0.17437332691,Descriptive origin-month split; no independent-subsample difference test
single,post_2008,lwti,military_conflict,48,176,2008-01-01,2022-08-01,-0.00255221865003,HC3,0.701767259078,0.107269722058,0.981018094323,-0.17899521004,0.17389077274,-0.212797010516,0.207692573216,0.0658275950958,0.969072760669,-0.110828977197,0.105724539897,-0.131571934227,0.126467496927,Descriptive origin-month split; no independent-subsample difference test
single,pre_2012,lwti,military_conflict,48,261,1990-04-01,2011-12-01,0.0856686434773,HC3,0.322527387514,0.0592597336568,0.148276297036,-0.0118049443603,0.183142231315,-0.0304783002234,0.201815587178,0.0543237182827,0.114794933164,-0.00368592156958,0.175023208524,-0.0208038878632,0.192141174818,Descriptive origin-month split; no independent-subsample difference test
single,post_2012,lwti,military_conflict,48,128,2012-01-01,2022-08-01,-0.106810193838,HC3,0.75666392746,0.0985224648026,0.278311509407,-0.268865227405,0.0552448397285,-0.299910676519,0.0862902888429,0.063545840415,0.0927945977939,-0.211333799923,-0.00228658775392,-0.231357752419,0.0177373647425,Descriptive origin-month split; no independent-subsample difference test
single,pre_2019,lwti,military_conflict,48,345,1990-04-01,2018-12-01,0.0945733477382,HC3,0.258472400853,0.106746608049,0.37563846192,-0.0810091976759,0.270155893152,-0.11464615951,0.303792854986,0.0893750170681,0.289981077565,-0.0524354732451,0.241582168722,-0.0805984668329,0.269745162309,Descriptive origin-month split; no independent-subsample difference test
single,post_2019,lwti,military_conflict,48,44,2019-01-01,2022-08-01,0.00417548491588,HC3,0.884013235941,0.0977476278358,0.965927131996,-0.156605055256,0.164956025088,-0.187406345217,0.195757315048,0.0499497140468,0.933379420288,-0.0779844833992,0.086335453231,-0.093724155654,0.102075125486,Descriptive origin-month split; no independent-subsample difference test
single,pre_2008,lwti,diplomatic_tension,0,213,1990-04-01,2007-12-01,-0.0511995451133,HC3,0.361031527374,0.0302307915561,0.0903370627396,-0.10092477225,-0.00147431797656,-0.110450807787,0.00805171756088,0.0289664216818,0.0771364723424,-0.0988450688764,-0.00355402135013,-0.107972688371,0.0055735981441,Descriptive origin-month split; no independent-subsample difference test
single,post_2008,lwti,diplomatic_tension,0,219,2008-01-01,2026-03-01,0.0108558929831,HC3,0.671792276232,0.0465635357015,0.81565152325,-0.0657343075991,0.0874460935653,-0.0804069599846,0.102118745951,0.0424090174844,0.797965685458,-0.0589007332416,0.0806125192078,-0.0722642539061,0.0939760398723,Descriptive origin-month split; no independent-subsample difference test
single,pre_2012,lwti,diplomatic_tension,0,261,1990-04-01,2011-12-01,-0.0300154732995,HC3,0.308098010489,0.0297279576448,0.312652673617,-0.0789136122534,0.0188826656543,-0.0882811996172,0.0282502530182,0.0286860104613,0.295401620332,-0.0771997616496,0.0171688150505,-0.0862390206638,0.0262080740648,Descriptive origin-month split; no independent-subsample difference test
single,post_2012,lwti,diplomatic_tension,0,171,2012-01-01,2026-03-01,0.0057597390683,HC3,0.726966677621,0.0547074279394,0.916151586604,-0.084225972199,0.0957454503356,-0.10146484938,0.112984327516,0.0483172777002,0.905111666868,-0.0737151104013,0.0852345885379,-0.0889403850551,0.100459863192,Descriptive origin-month split; no independent-subsample difference test
single,pre_2019,lwti,diplomatic_tension,0,345,1990-04-01,2018-12-01,-0.0101446282273,HC3,0.255534160391,0.0302583296571,0.73742346497,-0.0599151515092,0.0396258950546,-0.0694498645875,0.0491606081329,0.0291664800079,0.727976832467,-0.0581192186536,0.037829962199,-0.0673098785985,0.0470206221439,Descriptive origin-month split; no independent-subsample difference test
single,post_2019,lwti,diplomatic_tension,0,87,2019-01-01,2026-03-01,-0.0333918061297,HC3,0.836554934938,0.0747537050593,0.655098191932,-0.156350709024,0.0895670967651,-0.179906375757,0.113122763497,0.0605347332005,0.58121284465,-0.132962581591,0.0661789693317,-0.152037703016,0.085254090757,Descriptive origin-month split; no independent-subsample difference test
