model,specification,outcome,event,horizon,n,origin_start,origin_end,beta,primary_covariance,maximum_leverage,hc3_se,hc3_p,hc3_90_low,hc3_90_high,hc3_95_low,hc3_95_high,hc1_se,hc1_p,hc1_90_low,hc1_90_high,hc1_95_low,hc1_95_high,matched_baseline_beta,interpretation
single,log_curvature_OLS_equivalent,lbrent,military_conflict,12,425,1990-04-01,2025-08-01,-0.00935503014337,HC3,0.428983277466,0.0340634511818,0.783596352847,-0.0653844213663,0.0466743610796,-0.0761181676489,0.0574081073622,0.0332787947939,0.778625382906,-0.0640937764606,0.0453837161739,-0.0745802693882,0.0558702091015,-0.00406498170357,Algebraic OLS-equivalent contrast because two treatment lags are controlled
single,log_curvature_OLS_equivalent,lbrent,military_conflict,24,413,1990-04-01,2024-08-01,0.00600398498914,HC3,0.431598125609,0.0431672277052,0.889381679313,-0.0649997860672,0.0770077560455,-0.0786022266255,0.0906101966038,0.0423643214708,0.887299063183,-0.0636791228354,0.0756870928137,-0.0770285593231,0.0890365293014,0.00449431800885,Algebraic OLS-equivalent contrast because two treatment lags are controlled
single,log_curvature_OLS_equivalent,lbrent,military_conflict,48,389,1990-04-01,2022-08-01,0.0521622046493,HC3,0.439900758563,0.0391788929418,0.183062242683,-0.012281339506,0.116605748805,-0.0246270144708,0.128951423769,0.0382178743979,0.172295768279,-0.0107006046685,0.115025013967,-0.0227434527363,0.127067862035,0.0470016758468,Algebraic OLS-equivalent contrast because two treatment lags are controlled
single,log_curvature_OLS_equivalent,lbrent,diplomatic_tension,0,432,1990-04-01,2026-03-01,-0.0354744568725,HC3,0.439707182839,0.0325044380004,0.275108911691,-0.0889394996095,0.0179905858646,-0.099181984691,0.0282330709461,0.0304527869625,0.244059402523,-0.0855648339586,0.0146159202136,-0.0951608225479,0.024211908803,-0.0165870734068,Algebraic OLS-equivalent contrast because two treatment lags are controlled
single,log_curvature_OLS_equivalent,lbrent,diplomatic_tension,12,425,1990-04-01,2025-08-01,-0.16569828607,HC3,0.446699363028,0.0733039212302,0.0237946580444,-0.286272506776,-0.0451240653653,-0.309371331607,-0.0220252405338,0.0712117178898,0.0199737733064,-0.282831138523,-0.0485654336181,-0.305270688412,-0.0261258837293,-0.180809647546,Algebraic OLS-equivalent contrast because two treatment lags are controlled
single,log_curvature_OLS_equivalent,lbrent,diplomatic_tension,24,413,1990-04-01,2024-08-01,-0.312848780775,HC3,0.450111733623,0.0915052012181,0.00062870666769,-0.463361442884,-0.162336118667,-0.492195679561,-0.13350188199,0.0896484009271,0.000483507442941,-0.460307278191,-0.16539028336,-0.488556417864,-0.137141143687,-0.307917543159,Algebraic OLS-equivalent contrast because two treatment lags are controlled
single,log_curvature_OLS_equivalent,lbrent,diplomatic_tension,48,389,1990-04-01,2022-08-01,-0.254151644164,HC3,0.459515467294,0.0983690843808,0.00977599108503,-0.415954389387,-0.0923488989403,-0.446951506742,-0.0613517815854,0.0971108708716,0.00886729091282,-0.413884812333,-0.0944184759943,-0.44448545358,-0.0638178347482,-0.254957104636,Algebraic OLS-equivalent contrast because two treatment lags are controlled
single,log_curvature_OLS_equivalent,lbrent,nuclear_threat,0,432,1990-04-01,2026-03-01,0.022647440435,HC3,0.427467341954,0.011561270432,0.0501238122715,0.00363084283284,0.0416640380372,-1.22332271522e-05,0.0453071140972,0.0111859006034,0.0429041725545,0.00424827125676,0.0410466096133,0.000723478117668,0.0445714027523,0.0247333491122,Algebraic OLS-equivalent contrast because two treatment lags are controlled
single,log_curvature_OLS_equivalent,lbrent,nuclear_threat,12,425,1990-04-01,2025-08-01,0.0924220269018,HC3,0.431615110127,0.0381866037525,0.0155088355991,0.0296106532185,0.155233400585,0.017577658855,0.167266394949,0.0374584431048,0.0136128023631,0.0308083709009,0.154035682903,0.0190048274994,0.165839226304,0.0883900101636,Algebraic OLS-equivalent contrast because two treatment lags are controlled
single,log_curvature_OLS_equivalent,lbrent,nuclear_threat,24,413,1990-04-01,2024-08-01,0.101531487411,HC3,0.434841068435,0.0414807439511,0.0143780249382,0.0333017352741,0.169761239547,0.0202307232146,0.182832251607,0.0408405088265,0.0129170345175,0.034354828341,0.16870814648,0.0214855610005,0.181577413821,0.0980116919863,Algebraic OLS-equivalent contrast because two treatment lags are controlled
single,log_curvature_OLS_equivalent,lbrent,nuclear_threat,48,389,1990-04-01,2022-08-01,0.0126412746207,HC3,0.444414113913,0.0439694935077,0.773728714283,-0.0596821062507,0.0849646554921,-0.0735373490729,0.0988198983143,0.0434300048499,0.770995967844,-0.0587947263752,0.0840772756166,-0.0724799707336,0.097762519975,0.014845668432,Algebraic OLS-equivalent contrast because two treatment lags are controlled
