model,specification,outcome,event,horizon,n,origin_start,origin_end,beta,primary_covariance,maximum_leverage,hc3_se,hc3_p,hc3_90_low,hc3_90_high,hc3_95_low,hc3_95_high,hc1_se,hc1_p,hc1_90_low,hc1_90_high,hc1_95_low,hc1_95_high,matched_baseline_beta,matched_baseline_n
single,extra_4_price_lags,lwti,diplomatic_tension,12,424,1990-05-01,2025-08-01,-0.198703650693,HC3,0.473297577015,0.0757265873407,0.0086913605696,-0.323262802537,-0.0741444988495,-0.347125034553,-0.0502822668336,0.0740676217053,0.00730232710809,-0.320534046895,-0.0768732544918,-0.343873521656,-0.0535337797306,-0.197888665656,424
single,three_lags_all_variables,lwti,diplomatic_tension,12,424,1990-05-01,2025-08-01,-0.17508715702,HC3,0.567533409133,0.0762094444925,0.0215932851667,-0.300440538202,-0.049733775839,-0.324454923508,-0.0257193905333,0.0743239011525,0.0184862730057,-0.2973390954,-0.0528352186406,-0.32075932647,-0.029414987571,-0.197888665656,424
single,non_augmented_2_price_lags,lwti,diplomatic_tension,24,413,1990-04-01,2024-08-01,-0.309688756003,HC3,0.413320375222,0.0968336741723,0.00138311617762,-0.468965976177,-0.15041153583,-0.499479269872,-0.119898242135,0.0948025987951,0.00108820649594,-0.465625154476,-0.153752357531,-0.495498435282,-0.123879076724,-0.306418676153,413
single,extra_4_price_lags,lwti,diplomatic_tension,24,412,1990-05-01,2024-08-01,-0.312688257897,HC3,0.476697407989,0.0967707995597,0.00123260731035,-0.471862058536,-0.153514457258,-0.502355539789,-0.123020976005,0.0945667814334,0.000944579584406,-0.468236771327,-0.157139744467,-0.49803574364,-0.127340772154,-0.309305739556,412
single,three_lags_all_variables,lwti,diplomatic_tension,24,412,1990-05-01,2024-08-01,-0.29358504095,HC3,0.569521018849,0.0982250703802,0.0027998255571,-0.455150904222,-0.132019177678,-0.486102641274,-0.101067440626,0.0956539084743,0.00214602319169,-0.450921719236,-0.136248362664,-0.48106325654,-0.10610682536,-0.309305739556,412
single,non_augmented_2_price_lags,lwti,diplomatic_tension,48,389,1990-04-01,2022-08-01,-0.227225520536,HC3,0.425043492497,0.103599863136,0.0282858128515,-0.397632131167,-0.0568189099048,-0.430277521086,-0.0241735199859,0.101348038121,0.024959319561,-0.393928208624,-0.060522832448,-0.425864025157,-0.0285870159147,-0.226655004576,389
single,extra_4_price_lags,lwti,diplomatic_tension,48,388,1990-05-01,2022-08-01,-0.227417825637,HC3,0.48678819457,0.10462389631,0.0297299265462,-0.399508820947,-0.0553268303263,-0.432476894326,-0.0223587569479,0.102256075579,0.0261482379395,-0.39561410243,-0.0592215488436,-0.427836050971,-0.0269996003024,-0.226355861643,388
single,three_lags_all_variables,lwti,diplomatic_tension,48,388,1990-05-01,2022-08-01,-0.210300249404,HC3,0.577295114443,0.10591134999,0.0470749520847,-0.384508917571,-0.0360915812368,-0.417882680939,-0.00271781786861,0.103210254801,0.0415908886276,-0.380066011351,-0.0405344874563,-0.412588631648,-0.00801186715932,-0.226355861643,388
single,non_augmented_2_price_lags,lwti,nuclear_threat,0,432,1990-04-01,2026-03-01,0.0196567034586,HC3,0.404026143381,0.0148851808883,0.186649709295,-0.00482724031337,0.0441406472306,-0.00951771498586,0.0488311219031,0.013961317178,0.159148698406,-0.00330761973866,0.0426210266559,-0.00770697538703,0.0470203823043,0.0190881634422,432
single,extra_4_price_lags,lwti,nuclear_threat,0,431,1990-05-01,2026-03-01,0.019306552826,HC3,0.462654537144,0.015055408368,0.199714075347,-0.0054573902334,0.0440704958853,-0.0102015053479,0.0488146109998,0.0140776711056,0.170240677711,-0.00384915555103,0.042462261203,-0.00828517552712,0.0468982811791,0.0196081948138,431
single,three_lags_all_variables,lwti,nuclear_threat,0,431,1990-05-01,2026-03-01,0.0175280222472,HC3,0.558696169502,0.0150504801814,0.244174673658,-0.00722781466659,0.042283859161,-0.0119703768584,0.0470264213528,0.0139734445238,0.209703582943,-0.00545624865885,0.0405122931532,-0.0098594257595,0.0449154702539,0.0196081948138,431
single,non_augmented_2_price_lags,lwti,nuclear_threat,12,425,1990-04-01,2025-08-01,0.0847731521797,HC3,0.407625788819,0.0440020798096,0.0540330553233,0.0123961716115,0.157150132748,-0.00146933949199,0.171015643851,0.042554263193,0.0463580132088,0.0147776180246,0.154768686335,0.0013683289329,0.168177975427,0.0822149437182,425
single,extra_4_price_lags,lwti,nuclear_threat,12,424,1990-05-01,2025-08-01,0.0819140366799,HC3,0.465817059527,0.0438653106163,0.0618458909481,0.00976202141529,0.154066051945,-0.00406039229876,0.167888465659,0.0423233659809,0.052937190316,0.0122982946414,0.151529778718,-0.00103823634721,0.164866309707,0.0820274210889,424
single,three_lags_all_variables,lwti,nuclear_threat,12,424,1990-05-01,2025-08-01,0.0755903333276,HC3,0.561059730334,0.043635183834,0.0832156581737,0.0038168429356,0.14736382372,-0.00993305544577,0.161113722101,0.0420007663739,0.0719021756289,0.0065052204227,0.144675446233,-0.00672965608839,0.157910322744,0.0820274210889,424
single,non_augmented_2_price_lags,lwti,nuclear_threat,24,413,1990-04-01,2024-08-01,0.0833669421402,HC3,0.41252411741,0.0459869371988,0.0698565598881,0.00772516169645,0.159008722584,-0.00676579852866,0.173499682809,0.0446487865481,0.0618776409732,0.00992622364755,0.156807660633,-0.00414307144752,0.170876955728,0.0810225368937,413
single,extra_4_price_lags,lwti,nuclear_threat,24,412,1990-05-01,2024-08-01,0.0803538711967,HC3,0.469214530072,0.0465221878793,0.0841288631927,0.00383168172974,0.156876060664,-0.0108279415287,0.171535683922,0.0450968699658,0.0747808817721,0.00617612106938,0.154531621324,-0.00803436975165,0.168742112145,0.0812845997903,412
single,three_lags_all_variables,lwti,nuclear_threat,24,412,1990-05-01,2024-08-01,0.0880627975292,HC3,0.562746011742,0.0490309837241,0.0724842976116,0.00741400611755,0.168711588941,-0.00803616469668,0.184161759755,0.047515798133,0.0638340386007,0.00990626463263,0.166219330426,-0.00506645550817,0.181192050567,0.0812845997903,412
single,non_augmented_2_price_lags,lwti,nuclear_threat,48,389,1990-04-01,2022-08-01,0.00447354199109,HC3,0.426067736773,0.0516003265028,0.930913154682,-0.0804014422089,0.0893485261911,-0.0966612395449,0.105608323527,0.0507650526025,0.929779334774,-0.0790275389045,0.0879746228867,-0.0950241327831,0.103971216765,0.00362429046817,389
