model,outcome,event,horizon,beta,block_length,draws,seed,multiplier_se,critical90,critical95,sim90_low,sim90_high,sim95_low,sim95_high
joint,lwip,military_conflict,0,-0.00169718802871,1,1999,20261020,0.00201895077537,2.50705247405,2.73373507421,-0.00675880356507,0.00336442750766,-0.00721646457643,0.00382208851901
joint,lwip,military_conflict,1,-0.00059618605789,1,1999,20261020,0.00229464650131,2.50705247405,2.73373507421,-0.00634898524606,0.00515661313028,-0.00686914168143,0.00567676956565
joint,lwip,military_conflict,2,-0.00177337126148,1,1999,20261020,0.00285554497356,2.50705247405,2.73373507421,-0.0089323723522,0.00538562982925,-0.00957967471168,0.00603293218873
joint,lwip,military_conflict,3,-0.00452167370692,1,1999,20261020,0.00394199401884,2.50705247405,2.73373507421,-0.0144044595645,0.00536111215069,-0.0152980410185,0.00625469360469
joint,lwip,military_conflict,4,-0.00397732930521,1,1999,20261020,0.00431400298418,2.50705247405,2.73373507421,-0.0147927611597,0.00683810254931,-0.0157706705733,0.00781601196286
joint,lwip,military_conflict,5,-0.00384471426494,1,1999,20261020,0.00390050094314,2.50705247405,2.73373507421,-0.0136234748045,0.00593404627458,-0.0145076505002,0.00681822197029
joint,lwip,military_conflict,6,-0.0035344874908,1,1999,20261020,0.00392470033701,2.50705247405,2.73373507421,-0.0133739171806,0.00630494219899,-0.0142635784578,0.00719460347623
joint,lwip,military_conflict,7,-0.00356212156666,1,1999,20261020,0.00395172553026,2.50705247405,2.73373507421,-0.013469304834,0.00634506170074,-0.0143650922524,0.00724084911905
joint,lwip,military_conflict,8,-0.00291648414797,1,1999,20261020,0.00394512280872,2.50705247405,2.73373507421,-0.012807114046,0.00697414575004,-0.0137014047422,0.00786843644627
joint,lwip,military_conflict,9,-0.0022814871023,1,1999,20261020,0.00392405900292,2.50705247405,2.73373507421,-0.0121193089339,0.00755633472927,-0.0130088248318,0.00844585062723
joint,lwip,military_conflict,10,-0.00325665597729,1,1999,20261020,0.00390147902521,2.50705247405,2.73373507421,-0.0130378686199,0.00652455666531,-0.0139222660298,0.00740895407521
joint,lwip,military_conflict,11,-0.00303250207351,1,1999,20261020,0.00394580158142,2.50705247405,2.73373507421,-0.0129248336903,0.00685982954329,-0.0138192782525,0.00775427410548
joint,lwip,military_conflict,12,-0.000283331539715,1,1999,20261020,0.00433922835802,2.50705247405,2.73373507421,-0.0111620047302,0.0105953416507,-0.012145632297,0.0115789692176
joint,lwip,military_conflict,13,-0.000949697047522,1,1999,20261020,0.00444886729551,2.50705247405,2.73373507421,-0.0121032408074,0.0102038467124,-0.0131117216137,0.0112123275187
joint,lwip,military_conflict,14,-0.000205843782034,1,1999,20261020,0.00460665522024,2.50705247405,2.73373507421,-0.011754970149,0.011343282585,-0.0127992187324,0.0123875311683
joint,lwip,military_conflict,15,0.00219504124639,1,1999,20261020,0.00498706262757,2.50705247405,2.73373507421,-0.0103077864523,0.0146978689451,-0.0114382667758,0.0158283492686
joint,lwip,military_conflict,16,-0.000992644103326,1,1999,20261020,0.00536922614006,2.50705247405,2.73373507421,-0.0144535757815,0.0124682875748,-0.0156706859238,0.0136853977171
joint,lwip,military_conflict,17,0.00131394646639,1,1999,20261020,0.00570392864073,2.50705247405,2.73373507421,-0.0129861019441,0.0156139948769,-0.0142790833195,0.0169069762523
joint,lwip,military_conflict,18,0.00237532682783,1,1999,20261020,0.00544996738816,2.50705247405,2.73373507421,-0.0112880273961,0.0160386810518,-0.0125234401744,0.0172740938301
joint,lwip,military_conflict,19,6.85490870084e-05,1,1999,20261020,0.00509871692628,2.50705247405,2.73373507421,-0.0127142017975,0.0128512999715,-0.0138699922078,0.0140070903818
joint,lwip,military_conflict,20,0.000917980070001,1,1999,20261020,0.00532477755874,2.50705247405,2.73373507421,-0.0124315166824,0.0142674768224,-0.0136385511047,0.0154745112447
joint,lwip,military_conflict,21,0.00181773739961,1,1999,20261020,0.00562142331095,2.50705247405,2.73373507421,-0.0122754658198,0.015910940619,-0.0135497446725,0.0171852194717
joint,lwip,military_conflict,22,0.00208901602926,1,1999,20261020,0.00579772264836,2.50705247405,2.73373507421,-0.0124461788801,0.0166242109387,-0.0137604217251,0.0179384537836
joint,lwip,military_conflict,23,-0.000487395758051,1,1999,20261020,0.00581381987188,2.50705247405,2.73373507421,-0.0150629472515,0.0140881557354,-0.0163808390569,0.0154060475408
joint,lwip,military_conflict,24,-0.00133311560896,1,1999,20261020,0.00581986114279,2.50705247405,2.73373507421,-0.0159238128856,0.0132575816677,-0.017243074142,0.0145768429241
joint,lwip,military_conflict,25,-0.00175704424906,1,1999,20261020,0.00593339773902,2.50705247405,2.73373507421,-0.0166323837302,0.0131182952321,-0.0179773817574,0.0144632932593
joint,lwip,military_conflict,26,-0.00148700431116,1,1999,20261020,0.00601621704832,2.50705247405,2.73373507421,-0.0165699761466,0.0135959675242,-0.0179337478702,0.0149597392479
joint,lwip,military_conflict,27,-0.00354068658051,1,1999,20261020,0.00637428125694,2.50705247405,2.73373507421,-0.019521344176,0.012439971015,-0.0209662828255,0.0138849096644
joint,lwip,military_conflict,28,-0.00117604735619,1,1999,20261020,0.00690056693851,2.50705247405,2.73373507421,-0.0184761307717,0.0161240360593,-0.0200403692279,0.0176882745155
joint,lwip,military_conflict,29,-0.00173687238898,1,1999,20261020,0.00710456433105,2.50705247405,2.73373507421,-0.0195483879722,0.0160746431942,-0.0211588690877,0.0176851243098
joint,lwip,military_conflict,30,-0.00369743760396,1,1999,20261020,0.00729477586727,2.50705247405,2.73373507421,-0.0219858234896,0.0145909482817,-0.0236394222508,0.0162445470429
joint,lwip,military_conflict,31,-0.0052933518741,1,1999,20261020,0.00766880474064,2.50705247405,2.73373507421,-0.0245194477721,0.0139327440239,-0.0262578323708,0.0156711286226
joint,lwip,military_conflict,32,-0.00345761259533,1,1999,20261020,0.00787096575182,2.50705247405,2.73373507421,-0.0231905367566,0.0162753115659,-0.024974747739,0.0180595225483
joint,lwip,military_conflict,33,-0.00430936882757,1,1999,20261020,0.00858805924577,2.50705247405,2.73373507421,-0.0258400840069,0.0172213463518,-0.0277868476071,0.0191681099519
joint,lwip,military_conflict,34,-0.00493107086275,1,1999,20261020,0.00858955346942,2.50705247405,2.73373507421,-0.0264655321392,0.0166033904137,-0.0284126344539,0.0185504927284
joint,lwip,military_conflict,35,-0.00399784875151,1,1999,20261020,0.00869412425851,2.50705247405,2.73373507421,-0.0257944744835,0.0177987769805,-0.0277652811765,0.0197695836735
joint,lwip,military_conflict,36,-0.00464570699682,1,1999,20261020,0.00914590966571,2.50705247405,2.73373507421,-0.0275749824516,0.018283568458,-0.0296482010355,0.0203567870418
joint,lwip,military_conflict,37,-0.00465206255118,1,1999,20261020,0.00874406211792,2.50705247405,2.73373507421,-0.0265738851171,0.0172697600148,-0.028556011854,0.0192518867516
joint,lwip,military_conflict,38,-0.00336392221179,1,1999,20261020,0.00859548094404,2.50705247405,2.73373507421,-0.0249132439782,0.0181853995546,-0.0268616899482,0.0201338455246
joint,lwip,military_conflict,39,-0.00327621472104,1,1999,20261020,0.00857357593174,2.50705247405,2.73373507421,-0.0247706194721,0.0182181900301,-0.026714099957,0.0201616705149
joint,lwip,military_conflict,40,-0.00216632042486,1,1999,20261020,0.00889166275177,2.50705247405,2.73373507421,-0.0244581855251,0.0201255446754,-0.0264737707574,0.0221411299077
joint,lwip,military_conflict,41,-0.00135637087216,1,1999,20261020,0.00910047121124,2.50705247405,2.73373507421,-0.0241717297373,0.021458987993,-0.0262346482141,0.0235219064698
joint,lwip,military_conflict,42,-0.000639593641864,1,1999,20261020,0.00927777990241,2.50705247405,2.73373507421,-0.0238994746999,0.0226202874161,-0.0260025859719,0.0247233986881
joint,lwip,military_conflict,43,0.00060256644205,1,1999,20261020,0.00931103108127,2.50705247405,2.73373507421,-0.0227406770662,0.0239458099503,-0.0248513258018,0.0260564586859
joint,lwip,military_conflict,44,0.000649921869959,1,1999,20261020,0.0092040006403,2.50705247405,2.73373507421,-0.0224249907064,0.0237248344464,-0.0245113775034,0.0258112212434
joint,lwip,military_conflict,45,0.00266005925374,1,1999,20261020,0.00943272225946,2.50705247405,2.73373507421,-0.0209882704238,0.0263083889313,-0.0231265044322,0.0284466229397
joint,lwip,military_conflict,46,0.00258941400782,1,1999,20261020,0.00916597835723,2.50705247405,2.73373507421,-0.0203901747097,0.0255690027254,-0.0224679425167,0.0276467705324
joint,lwip,military_conflict,47,0.00636704658067,1,1999,20261020,0.0100180636228,2.50705247405,2.73373507421,-0.0187487646101,0.0314828577714,-0.0210196853206,0.033753778482
joint,lwip,military_conflict,48,0.00608456274265,1,1999,20261020,0.0103392426991,2.50705247405,2.73373507421,-0.0198364612459,0.0320055867312,-0.0221801876646,0.0343493131499
joint,lwip,diplomatic_tension,0,0.00268587022113,1,1999,20261020,0.00308810517351,2.61102720204,2.86340560435,-0.00537725638965,0.0107489968319,-0.0061566274395,0.0115283678818
joint,lwip,diplomatic_tension,1,0.00830509984374,1,1999,20261020,0.00400052049105,2.61102720204,2.86340560435,-0.0021403679807,0.0187505676682,-0.00315001295064,0.0197602126381
joint,lwip,diplomatic_tension,2,0.00682896221692,1,1999,20261020,0.00463801363328,2.61102720204,2.86340560435,-0.00528101754301,0.0189389419768,-0.00645155201367,0.0201094764475
joint,lwip,diplomatic_tension,3,0.00347384798424,1,1999,20261020,0.00543786029858,2.61102720204,2.86340560435,-0.0107245531762,0.0176722491447,-0.0120969516704,0.0190446476389
joint,lwip,diplomatic_tension,4,0.00425740202572,1,1999,20261020,0.00628912798316,2.61102720204,2.86340560435,-0.0121636822154,0.0206784862668,-0.0137509222877,0.0222657263392
