outcome,test,horizon,scope,covariance,difference,wald_chi2,df,p_value
lbrent,diplomatic_minus_nuclear,24,pointwise,HC1,-0.432685720758,16.0542064383,1,6.15547316218e-05
lbrent,all_three_equal,48,pointwise,HC3,,5.23125167814,2,0.0731220117611
lbrent,all_three_equal,48,pointwise,HC1,,5.55204717876,2,0.0622856890793
lbrent,military_minus_diplomatic,48,pointwise,HC3,0.253687490929,5.10728447117,1,0.0238255837543
lbrent,military_minus_diplomatic,48,pointwise,HC1,0.253687490929,5.45918136696,1,0.0194657644524
lbrent,military_minus_nuclear,48,pointwise,HC3,0.00660012328732,0.0058065657953,1,0.939259326007
lbrent,military_minus_nuclear,48,pointwise,HC1,0.00660012328732,0.00661932564369,1,0.935156264791
lbrent,diplomatic_minus_nuclear,48,pointwise,HC3,-0.247087367641,3.70658804592,1,0.0541980738805
lbrent,diplomatic_minus_nuclear,48,pointwise,HC1,-0.247087367641,3.94146778423,1,0.0471096564393
lbrent,all_three_equal,"0,6,12,24,36,48",selected_path,HC3,,28.8810842556,12,0.00410332477256
