model,specification,outcome,event,horizon,n,origin_start,origin_end,beta,primary_covariance,maximum_leverage,hc3_se,hc3_p,hc3_90_low,hc3_90_high,hc3_95_low,hc3_95_high,hc1_se,hc1_p,hc1_90_low,hc1_90_high,hc1_95_low,hc1_95_high
joint,mechanism_lag_augmented,lwip,diplomatic_tension,5,430,1990-04-01,2026-01-01,7.81819559339e-05,HC3,0.553605553141,0.00684698750129,0.990889596329,-0.0111841102693,0.0113404741811,-0.0133416669492,0.0134980308611,0.0065925214149,0.990537958168,-0.0107655508041,0.010921914716,-0.0128429225846,0.0129992864964
joint,mechanism_lag_augmented,lwip,nuclear_threat,5,430,1990-04-01,2026-01-01,0.00172688983899,HC3,0.553605553141,0.00281026166495,0.538888723407,-0.00289557925328,0.00634935893126,-0.00378112181144,0.00723490148942,0.00248068822884,0.4863453146,-0.00235347919155,0.00580725886953,-0.00313516974641,0.00658894942438
joint,mechanism_lag_augmented,lwip,military_conflict,6,429,1990-04-01,2025-12-01,-0.0035344874908,HC3,0.553648257695,0.00390019503168,0.36481226203,-0.00994973743448,0.00288076245288,-0.0111787292856,0.00410975430398,0.00355341060114,0.319894521424,-0.00937932780613,0.00231035282453,-0.0104990442913,0.00343006930971
joint,mechanism_lag_augmented,lwip,diplomatic_tension,6,429,1990-04-01,2025-12-01,-0.00265260300287,HC3,0.553648257695,0.007245043301,0.714270616552,-0.0145696387539,0.0092644327482,-0.0168526269393,0.0115474209335,0.00696551712835,0.703337374859,-0.014109859115,0.00880465310929,-0.0163047657081,0.0109995597024
joint,mechanism_lag_augmented,lwip,nuclear_threat,6,429,1990-04-01,2025-12-01,0.00108941358565,HC3,0.553648257695,0.0031301615938,0.727812028212,-0.00405924406485,0.00623807123615,-0.00504559040399,0.00722441757528,0.00279302009351,0.696500607514,-0.00350469564532,0.00568352281661,-0.00438480520574,0.00656363237703
joint,mechanism_lag_augmented,lwip,military_conflict,7,428,1990-04-01,2025-11-01,-0.00356212156666,HC3,0.553872939319,0.00397973841931,0.370752745488,-0.01010820874,0.00298396560666,-0.0113622655364,0.00423802240308,0.00360059111172,0.322508670916,-0.00948456691594,0.00236032378263,-0.0106191504687,0.00349490733538
joint,mechanism_lag_augmented,lwip,diplomatic_tension,7,428,1990-04-01,2025-11-01,-4.61228816002e-05,HC3,0.553872939319,0.00893550926678,0.995881536171,-0.0147437277077,0.0146514819445,-0.017559399228,0.0174671534648,0.00860260577956,0.995722161429,-0.0141961501993,0.0141039044361,-0.0169069203827,0.0168146746195
joint,mechanism_lag_augmented,lwip,nuclear_threat,7,428,1990-04-01,2025-11-01,0.00158233163637,HC3,0.553872939319,0.00344237047002,0.645757860401,-0.00407986391656,0.00724452718929,-0.00516459050632,0.00832925377906,0.00311406298787,0.611366048491,-0.00353984616379,0.00670450943652,-0.00452111966545,0.00768578293819
joint,mechanism_lag_augmented,lwip,military_conflict,8,427,1990-04-01,2025-10-01,-0.00291648414797,HC3,0.554211270303,0.0039340081223,0.458480139047,-0.0093873516764,0.00355438338046,-0.0106269983826,0.00479403008664,0.00347897236685,0.401852291988,-0.00863888446365,0.00280591616771,-0.00973514469021,0.00390217639427
joint,mechanism_lag_augmented,lwip,diplomatic_tension,8,427,1990-04-01,2025-10-01,-0.00722802283068,HC3,0.554211270303,0.0114596117638,0.528211264667,-0.0260774068038,0.0116213611424,-0.0296884491645,0.0152324035031,0.0110165719012,0.511756864039,-0.0253486710789,0.0108926254175,-0.0288201069901,0.0143640613287
joint,mechanism_lag_augmented,lwip,nuclear_threat,8,427,1990-04-01,2025-10-01,0.00194978848863,HC3,0.554211270303,0.00359308115733,0.587370231428,-0.00396030408494,0.0078598810622,-0.00509252117327,0.00899209815053,0.003278817276,0.552069335815,-0.00344338599991,0.00734296297717,-0.00447657528422,0.00837615226148
joint,mechanism_lag_augmented,lwip,military_conflict,9,426,1990-04-01,2025-09-01,-0.0022814871023,HC3,0.554211431248,0.00392594180753,0.561152061675,-0.00873908672361,0.00417611251901,-0.00997619165045,0.00541321744585,0.00347495150589,0.511468884133,-0.00799727369024,0.00343429948563,-0.00909226690186,0.00452929269726
joint,mechanism_lag_augmented,lwip,diplomatic_tension,9,426,1990-04-01,2025-09-01,-0.00818148961832,HC3,0.554211431248,0.0110317514646,0.458310894827,-0.0263271060266,0.00996412678991,-0.0298033251754,0.0134403459388,0.0105918040599,0.4398563027,-0.0256034569422,0.00924047770555,-0.028941044107,0.0125780648704
joint,mechanism_lag_augmented,lwip,nuclear_threat,9,426,1990-04-01,2025-09-01,0.00170761684779,HC3,0.554211431248,0.00379245265351,0.652517822604,-0.00453041265438,0.00794564634995,-0.00572545376617,0.00914068746174,0.00350339025727,0.625961862017,-0.00405494732351,0.00747018101908,-0.00515890188025,0.00857413557583
joint,mechanism_lag_augmented,lwip,military_conflict,10,425,1990-04-01,2025-08-01,-0.00325665597729,HC3,0.554242716045,0.00388623139806,0.402031561108,-0.00964893778757,0.00313562583298,-0.0108735295531,0.0043602175985,0.00346664530354,0.347512180724,-0.00895878007818,0.00244546812359,-0.0100511559194,0.00353784396482
joint,mechanism_lag_augmented,lwip,diplomatic_tension,10,425,1990-04-01,2025-08-01,-0.00861245955872,HC3,0.554242716045,0.0102709802425,0.401736686363,-0.025506718663,0.00828179954558,-0.02874321092,0.0115182918026,0.00988686690166,0.383699012927,-0.0248749084411,0.00764998932366,-0.0279903626059,0.0107654434885
joint,mechanism_lag_augmented,lwip,nuclear_threat,10,425,1990-04-01,2025-08-01,0.00155531889566,HC3,0.554242716045,0.00412660642466,0.706247753182,-0.00523234464895,0.00834298244026,-0.00653268107505,0.00964331886636,0.00384941004206,0.686182681956,-0.00477639717365,0.00788703496496,-0.0059893861485,0.00910002393981
joint,mechanism_lag_augmented,lwip,military_conflict,11,424,1990-04-01,2025-07-01,-0.00303250207351,HC3,0.554323815292,0.00391255297473,0.438298351977,-0.00946807902463,0.00340307487761,-0.0107009649916,0.00463596084456,0.00349928578403,0.386157922198,-0.00878831498711,0.0027233108401,-0.00989097618182,0.00382597203481
joint,mechanism_lag_augmented,lwip,diplomatic_tension,11,424,1990-04-01,2025-07-01,-0.00822686719618,HC3,0.554323815292,0.00956550886775,0.389758525433,-0.0239607291509,0.00750699475858,-0.0269749200708,0.0105211856784,0.00920826865832,0.371631376986,-0.0233731212968,0.00691938690441,-0.0262747421265,0.00982100773411
joint,mechanism_lag_augmented,lwip,nuclear_threat,11,424,1990-04-01,2025-07-01,0.00221469303627,HC3,0.554323815292,0.00453043258174,0.62494929223,-0.00523720542746,0.00966659150001,-0.00666479165832,0.0110941777309,0.00426342201393,0.603437410091,-0.00479801212657,0.00922739819911,-0.00614146056193,0.0105708466345
joint,mechanism_lag_augmented,lwip,military_conflict,12,423,1990-04-01,2025-06-01,-0.000283331539715,HC3,0.554891508451,0.00428479793615,0.947278441773,-0.00733119696575,0.00676453388632,-0.0086813811756,0.00811471809617,0.00381283629157,0.94076378803,-0.00655488914287,0.00598822606344,-0.00775635335014,0.00718969027071
joint,mechanism_lag_augmented,lwip,diplomatic_tension,12,423,1990-04-01,2025-06-01,-0.00620537004588,HC3,0.554891508451,0.00917521337406,0.498838207366,-0.0212972530422,0.00888651295049,-0.0241884578095,0.0117777177177,0.00877030927479,0.479229163619,-0.020631245066,0.00822050497426,-0.0233948603577,0.010984120266
joint,mechanism_lag_augmented,lwip,nuclear_threat,12,423,1990-04-01,2025-06-01,0.00608452620664,HC3,0.554891508451,0.00476009985982,0.201166581523,-0.00174514131244,0.0139141937257,-0.00324509808142,0.0154141504947,0.00450536298611,0.176853270641,-0.00132613644181,0.0134951888551,-0.00274582298343,0.0149148753967
joint,mechanism_lag_augmented,lwip,military_conflict,13,422,1990-04-01,2025-05-01,-0.000949697047522,HC3,0.554935248681,0.00441627284063,0.829732295251,-0.00821381944705,0.006314425352,-0.00960543276107,0.00770603866602,0.00395880261316,0.810411638586,-0.00746134788416,0.00556195378911,-0.00870880759121,0.00680941349617
