model,outcome,horizon,n,event,sw_conditional_F,conditional_df,residual_df,raw_wald_F_all_instruments,excluded_instruments,endogenous_regressors,covariance_assumption
joint,lwti,15,422,military_conflict,200.024220368,1,405,66.6747401225,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,15,422,diplomatic_tension,637.99969908,1,405,212.66656636,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,15,422,nuclear_threat,454.636588999,1,405,151.545529666,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,16,421,military_conflict,198.682087002,1,404,66.2273623339,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,16,421,diplomatic_tension,641.199358903,1,404,213.733119634,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,16,421,nuclear_threat,457.55845705,1,404,152.519485683,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,17,420,military_conflict,197.851200792,1,403,65.9504002641,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,17,420,diplomatic_tension,635.592338978,1,403,211.864112993,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,17,420,nuclear_threat,456.422100375,1,403,152.140700125,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,18,419,military_conflict,198.452123076,1,402,66.150707692,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,18,419,diplomatic_tension,704.953055301,1,402,234.984351767,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,18,419,nuclear_threat,459.527297222,1,402,153.175765741,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,19,418,military_conflict,197.469336647,1,401,65.8231122155,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,19,418,diplomatic_tension,679.992464203,1,401,226.664154734,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,19,418,nuclear_threat,459.264882934,1,401,153.088294311,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,20,417,military_conflict,196.240990965,1,400,65.4136636549,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,20,417,diplomatic_tension,666.223806301,1,400,222.0746021,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,20,417,nuclear_threat,458.266687545,1,400,152.755562515,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,21,416,military_conflict,195.944927602,1,399,65.3149758672,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,21,416,diplomatic_tension,664.334136185,1,399,221.444712062,3,3,homoskedastic Sanderson-Windmeijer correction
