model,outcome,event,horizon,instrument_lead,n,origin_start,origin_end,beta,hc3_se,hc3_p,hc1_se,hc1_p
single,lbrent,sanctions,0,2,432,1990-04-01,2026-03-01,-0.000387509023232,0.000709968970362,0.585195716347,0.000638295323618,0.543784620604
single,lbrent,sanctions,1,2,432,1990-04-01,2026-03-01,-0.00100945431774,0.00176223066874,0.566761447518,0.00145796433855,0.488703472519
single,lbrent,other,0,2,432,1990-04-01,2026-03-01,5.35752172956e-05,0.0009429855959,0.954692995234,0.000900595781389,0.952562914242
single,lbrent,other,1,2,432,1990-04-01,2026-03-01,0.00113126214499,0.00139462440612,0.417274364752,0.0013246358913,0.393095329606
joint,lbrent,military_conflict,0,2,432,1990-04-01,2026-03-01,-0.000136300483452,0.000129868807189,0.293936825901,0.000121888412052,0.263464555372
joint,lbrent,diplomatic_tension,0,2,432,1990-04-01,2026-03-01,-0.000296493313742,0.000415123647237,0.475085637474,0.000399566318389,0.458064430783
joint,lbrent,nuclear_threat,0,2,432,1990-04-01,2026-03-01,-0.00118849238936,0.000893558361136,0.183496233795,0.000868325533595,0.171087584962
joint,lbrent,military_conflict,1,2,432,1990-04-01,2026-03-01,-0.000296364194457,0.000331343441854,0.371090769935,0.00030116881994,0.325092533751
joint,lbrent,diplomatic_tension,1,2,432,1990-04-01,2026-03-01,6.18524006605e-05,0.000690416586166,0.92861535786,0.000665212222028,0.92591829371
joint,lbrent,nuclear_threat,1,2,432,1990-04-01,2026-03-01,-0.00175480569601,0.00151891773937,0.247967587418,0.00145876132258,0.228998650969
