model,specification,outcome,event,horizon,n,origin_start,origin_end,beta,primary_covariance,maximum_leverage,hc3_se,hc3_p,hc3_90_low,hc3_90_high,hc3_95_low,hc3_95_high,hc1_se,hc1_p,hc1_90_low,hc1_90_high,hc1_95_low,hc1_95_high
single,baseline,lwti,gpr_ai,0,432,1990-04-01,2026-03-01,0.0939921507596,HC3,0.460035984751,0.0472547784987,0.0466956059382,0.0162649569552,0.171719344564,0.00137448680473,0.186609814715,0.0435089937937,0.0307500371484,0.022426224513,0.165558077006,0.00871608992031,0.179268211599
single,baseline,lwti,gpr_ai,1,432,1990-04-01,2026-03-01,0.0418906389315,HC3,0.460035984751,0.0792886260794,0.597269620579,-0.0885275452512,0.172308823114,-0.113512212568,0.197293490431,0.0732240265244,0.567261876894,-0.0785521666771,0.16233344454,-0.101625815859,0.185407093722
single,baseline,lwti,gpr_ai,2,432,1990-04-01,2026-03-01,-0.026408829847,HC3,0.460035984751,0.0990046407994,0.789666772019,-0.189256972351,0.136439312657,-0.220454360116,0.167636700422,0.0909190208647,0.771460216372,-0.175957311075,0.123139651381,-0.204606836252,0.151789176557
single,baseline,lwti,gpr_ai,3,432,1990-04-01,2026-03-01,-0.0486490865658,HC3,0.460035984751,0.0924300429887,0.598656071134,-0.200682978015,0.103384804883,-0.229808641913,0.132510468782,0.086356658959,0.573196082547,-0.190693150266,0.0933949771344,-0.217905027951,0.120606854819
single,baseline,lwti,gpr_ai,4,432,1990-04-01,2026-03-01,-0.0523889744943,HC3,0.460035984751,0.0810656903456,0.518115289713,-0.185730169281,0.0809522202921,-0.211274807954,0.106496858965,0.0757906638271,0.48941940601,-0.177053522779,0.0722755737909,-0.20093594596,0.0961579969713
single,baseline,lwti,gpr_ai,5,432,1990-04-01,2026-03-01,-0.0480918568215,HC3,0.460035984751,0.076477576697,0.529456399812,-0.173886276232,0.0777025625891,-0.197985152773,0.10180143913,0.0715703485747,0.501614094818,-0.165814604257,0.0696308906138,-0.188367162389,0.0921834487459
single,baseline,lwti,gpr_ai,6,431,1990-04-01,2026-02-01,-0.128468353359,HC3,0.460847648692,0.0593479998128,0.0304135877231,-0.226087126103,-0.0308495806147,-0.244788295547,-0.0121484111715,0.0578259503259,0.0263077507187,-0.223583577485,-0.0333531292336,-0.24180513337,-0.0151315733485
single,baseline,lwti,gpr_ai,7,430,1990-04-01,2026-01-01,-0.133093322209,HC3,0.462592531282,0.0626425420079,0.0336160346257,-0.236131134633,-0.0300555097862,-0.255870448445,-0.0103161959738,0.0612199451366,0.0297037104037,-0.233791171009,-0.0323954734097,-0.253082209813,-0.0131044346062
single,baseline,lwti,gpr_ai,8,429,1990-04-01,2025-12-01,-0.155103859192,HC3,0.462985499918,0.069257833619,0.0251225184618,-0.269022858015,-0.0411848603691,-0.290846718733,-0.0193609996516,0.0672985980491,0.0211827311245,-0.265800202282,-0.0444075161024,-0.287006687578,-0.023201030806
single,baseline,lwti,gpr_ai,9,428,1990-04-01,2025-11-01,-0.122010874015,HC3,0.463184023264,0.0680492923876,0.0729764657637,-0.23394199941,-0.0100797486199,-0.255385036268,0.011363288238,0.0661607477185,0.0651601132481,-0.230835619862,-0.0131861281685,-0.251683556734,0.00766180870337
