model,outcome,event,horizon,n,augmented_price_lags,conventional_price_lags,augmented_beta,augmented_hc3_se,conventional_beta,conventional_hac6_se,comparison
single,lwti,military_conflict,37,400,3,2,0.00227346586108,0.0992509094716,0.00788645153186,0.0519044819514,Matched observations; distinct regressions and covariance estimators
single,lwti,military_conflict,38,399,3,2,-0.022985925748,0.094086263483,-0.0166156455943,0.0516977464877,Matched observations; distinct regressions and covariance estimators
single,lwti,military_conflict,39,398,3,2,-0.00388617700505,0.0909398091061,0.00138945770789,0.0508350699194,Matched observations; distinct regressions and covariance estimators
single,lwti,military_conflict,40,397,3,2,-1.50769987786e-05,0.0922223785729,0.00487328200935,0.0518529498042,Matched observations; distinct regressions and covariance estimators
single,lwti,military_conflict,41,396,3,2,0.0141266543752,0.0917347704521,0.019121979977,0.0514309946651,Matched observations; distinct regressions and covariance estimators
single,lwti,military_conflict,42,395,3,2,0.0266964258508,0.0961436547793,0.0306706409443,0.050468062641,Matched observations; distinct regressions and covariance estimators
single,lwti,military_conflict,43,394,3,2,0.00926314148589,0.100715909099,0.0127066358764,0.0486070269923,Matched observations; distinct regressions and covariance estimators
single,lwti,military_conflict,44,393,3,2,0.0212971289441,0.107858410614,0.0248723981632,0.0495915070671,Matched observations; distinct regressions and covariance estimators
single,lwti,military_conflict,45,392,3,2,0.0524517704135,0.108678669391,0.055661172843,0.0520009650858,Matched observations; distinct regressions and covariance estimators
single,lwti,military_conflict,46,391,3,2,0.0575927899112,0.106565342191,0.061755937622,0.0501353529621,Matched observations; distinct regressions and covariance estimators
single,lwti,military_conflict,47,390,3,2,0.0395620561419,0.091460823968,0.0444063692536,0.0544523731907,Matched observations; distinct regressions and covariance estimators
single,lwti,military_conflict,48,389,3,2,0.0465391798434,0.0839305395243,0.0488972248449,0.0495829200838,Matched observations; distinct regressions and covariance estimators
single,lwti,diplomatic_tension,0,432,3,2,-0.0121237005105,0.0311944506794,-0.0134771000911,0.0349418008108,Matched observations; distinct regressions and covariance estimators
single,lwti,diplomatic_tension,1,432,3,2,-0.0273772974067,0.0495933264867,-0.0311874968174,0.049973428458,Matched observations; distinct regressions and covariance estimators
single,lwti,diplomatic_tension,2,432,3,2,-0.0433949340563,0.0606318229719,-0.050655129554,0.049503003846,Matched observations; distinct regressions and covariance estimators
single,lwti,diplomatic_tension,3,432,3,2,-0.0373765749857,0.0651152323201,-0.0444214060372,0.0529897320118,Matched observations; distinct regressions and covariance estimators
single,lwti,diplomatic_tension,4,432,3,2,0.0124033190398,0.0658214391527,0.00537127931794,0.0555895018934,Matched observations; distinct regressions and covariance estimators
