model,outcome,horizon,n,events,minimum_canonical_correlation,ar_joint_zero_statistic_hc3,ar_joint_zero_p_value_hc3,maximum_canonical_correlation,canonical_correlation_ratio,first_stage_rank,ar_joint_zero_statistic,ar_df
single,lwti,46,391,gpr_ai,0.849234107124,0.048432616846,0.825813432523,0.849234107124,1,1,0.0925377737921,1
single,lwti,47,390,gpr_ai,0.848894964744,0.136168002723,0.712120652202,0.848894964744,1,1,0.193380025729,1
single,lwti,48,389,gpr_ai,0.849006267188,0.023173610965,0.879006470708,0.849006267188,1,1,0.0329891097221,1
single,lwti,0,432,military_conflict,0.608314306709,7.87500481724,0.00501227379345,0.608314306709,1,1,13.9402694615,1
single,lwti,1,432,military_conflict,0.608314306709,1.30459057954,0.253376400949,0.608314306709,1,1,2.46372593385,1
single,lwti,2,432,military_conflict,0.608314306709,0.0922676344949,0.761313882214,0.608314306709,1,1,0.188269315607,1
single,lwti,3,432,military_conflict,0.608314306709,4.43099346066e-05,0.994688864166,0.608314306709,1,1,8.43421105199e-05,1
single,lwti,4,432,military_conflict,0.608314306709,0.0277561872137,0.867683312473,0.608314306709,1,1,0.0545255276724,1
single,lwti,5,432,military_conflict,0.608314306709,0.00358249903193,0.952271932048,0.608314306709,1,1,0.00617757614118,1
single,lwti,6,431,military_conflict,0.594888645888,1.60835520632,0.20472316359,0.594888645888,1,1,2.797796684,1
single,lwti,7,430,military_conflict,0.59492258308,1.34648698859,0.245893206338,0.59492258308,1,1,2.15692770324,1
single,lwti,8,429,military_conflict,0.594860866647,1.05390965631,0.30460837308,0.594860866647,1,1,1.65092530414,1
single,lwti,9,428,military_conflict,0.59333246563,0.322406582826,0.570164953602,0.59333246563,1,1,0.54429392073,1
single,lwti,10,427,military_conflict,0.592277208964,0.0190177860113,0.890315507376,0.592277208964,1,1,0.0356946669205,1
single,lwti,11,426,military_conflict,0.592122155154,0.0433813135048,0.835008931607,0.592122155154,1,1,0.0708240600786,1
single,lwti,12,425,military_conflict,0.591938525755,0.00100381285281,0.974724847537,0.591938525755,1,1,0.00148565715334,1
single,lwti,13,424,military_conflict,0.592968885827,0.00908326096461,0.924071663163,0.592968885827,1,1,0.0144073349894,1
single,lwti,14,423,military_conflict,0.594599376639,0.139026550218,0.709250677145,0.594599376639,1,1,0.177232106207,1
single,lwti,15,422,military_conflict,0.590436922696,0.120800832325,0.72816754024,0.590436922696,1,1,0.135116280238,1
single,lwti,16,421,military_conflict,0.589537702361,0.00867825148833,0.925778728897,0.589537702361,1,1,0.0101279936057,1
single,lwti,17,420,military_conflict,0.589548430772,0.036426097897,0.848638238536,0.589548430772,1,1,0.0377363052221,1
single,lwti,18,419,military_conflict,0.588903150495,0.001057392494,0.974059302946,0.588903150495,1,1,0.00125405880313,1
single,lwti,19,418,military_conflict,0.588899439928,0.0441639425447,0.833548893886,0.588899439928,1,1,0.0486991596736,1
single,lwti,20,417,military_conflict,0.588750684483,0.403703165248,0.525182958492,0.588750684483,1,1,0.441728677881,1
single,lwti,21,416,military_conflict,0.589194796873,0.233267973466,0.629111191778,0.589194796873,1,1,0.272039335758,1
single,lwti,22,415,military_conflict,0.590532571724,0.0848846908975,0.770783823431,0.590532571724,1,1,0.101434600522,1
single,lwti,23,414,military_conflict,0.588616949666,0.0184801367786,0.891867395842,0.588616949666,1,1,0.0276244717933,1
single,lwti,24,413,military_conflict,0.588788952627,0.00880941006705,0.92522159412,0.588788952627,1,1,0.0142928103885,1
single,lwti,25,412,military_conflict,0.587119629619,0.197927620193,0.656398836983,0.587119629619,1,1,0.320362720844,1
single,lwti,26,411,military_conflict,0.58706745608,0.0427235100004,0.836246764602,0.58706745608,1,1,0.081279729422,1
single,lwti,27,410,military_conflict,0.58711977488,0.00576645190334,0.939469094707,0.58711977488,1,1,0.011514744708,1
single,lwti,28,409,military_conflict,0.58891445175,0.00420072736272,0.948322876008,0.58891445175,1,1,0.00855620524342,1
single,lwti,29,408,military_conflict,0.586118929744,0.0137152376857,0.906771242556,0.586118929744,1,1,0.0344554424916,1
single,lwti,30,407,military_conflict,0.586445461395,0.0132618070533,0.908318366885,0.586445461395,1,1,0.0317200162645,1
single,lwti,31,406,military_conflict,0.585855266618,0.000221213979585,0.988133289866,0.585855266618,1,1,0.000484614381484,1
single,lwti,32,405,military_conflict,0.585239119022,0.0909464424829,0.762977380551,0.585239119022,1,1,0.232599823332,1
single,lwti,33,404,military_conflict,0.585016646171,0.0684685915282,0.793579698083,0.585016646171,1,1,0.164273115809,1
single,lwti,34,403,military_conflict,0.606646805299,7.68736378932e-05,0.99300442827,0.606646805299,1,1,0.000257063118857,1
single,lwti,35,402,military_conflict,0.590932779293,0.000796118921254,0.977490211602,0.590932779293,1,1,0.00274048035952,1
single,lwti,36,401,military_conflict,0.590552280185,0.000594413892166,0.980549018826,0.590552280185,1,1,0.00232771272873,1
single,lwti,37,400,military_conflict,0.590561034134,0.000527423080221,0.981677638309,0.590561034134,1,1,0.00195932012049,1
single,lwti,38,399,military_conflict,0.590257161658,0.0567688626564,0.811677758846,0.590257161658,1,1,0.200624723929,1
single,lwti,39,398,military_conflict,0.590265456418,0.00181040371551,0.966061178942,0.590265456418,1,1,0.005900350552,1
single,lwti,40,397,military_conflict,0.589288594751,2.6726418107e-08,0.999869560106,0.589288594751,1,1,8.09149222496e-08,1
